complaint,department,category,priority
"The road surface has completely peeled off after the heavy rain storm","Road","Road Damage","High"
"Bikes skidding daily due to the loose gravel spread over unpaved lane","Road","Road Damage","High"
"Massive craters on the main highway are destroying car tire suspension systems","Road","Road Damage","High"
"Deep longitudinal fissures running down the center of the street avenue","Road","Road Damage","Medium"
"The tar layer has shifted creating deep wave ridges dangerous for scooters","Road","Road Damage","Medium"
"Water supply is totally cut off since five days in block c colony area","Water","Water Supply","High"
"Municipal tap water smells extremely bad like chemical toxic fluid waste","Water","Water Quality","High"
"The primary distribution main pipeline cracked open wasting millions of gallons","Water","Water Leakage","High"
"Water pressure is so weak it takes an hour to fill a small plastic bucket","Water","Water Supply","Medium"
"Drinking water contains visible red worms and dirt floating inside taps","Water","Water Quality","High"
"Transformer caught fire with explosion sound cutting power to whole block","Electricity","Transformer Failure","High"
"High voltage cable snapped and is dangling low over the crowded school gate","Electricity","Dangerous Infrastructure","High"
"Complete block power failure since ten hours straight in peak afternoon summer","Electricity","Power Issue","High"
"Frequent extreme high voltage surges burning down household computer setups","Electricity","Power Issue","High"
"The utility electric pole is tilted at a 45 degree angle ready to fall down","Electricity","Dangerous Infrastructure","High"
"Garbage dump piles left uncollected outside the primary health center entry","Sanitation","Garbage Collection","High"
"A decaying stray pig body lying on market pathway spreading horrible smell","Sanitation","Debris and Dead Animals","High"
"Raw black sewage water spilling over from clogged manhole directly onto market lane","Sanitation","Sewage Problem","High"
"Toxic battery chemicals and e waste thrown openly in the children playground","Sanitation","Hazardous Waste","High"
"The main neighborhood trash container is missing and people dump on ground","Sanitation","Garbage Collection","Medium"
"The main storm drain line is blocked solid with plastic debris causing floods","Drainage","Drainage Issue","High"
"Underground concrete culvert pipe split into half blocking the whole flow","Drainage","Drainage Issue","High"
"A toddler nearly fell inside the open concrete gutter hole lacking cover plate","Drainage","Drainage Hazard","High"
"Gutter slush overflowing inside ground floor shops destroying fine goods","Drainage","Drainage Issue","High"
"The open drain channel has become a massive stagnant mosquito swamp pool","Drainage","Drainage Issue","High"
"Feral dog pack bit two children playing near the society garden swings","Animal","Stray Animals","High"
"Stray cow standing inside the narrow entry gate blocking emergency exit","Animal","Stray Animals","High"
"A wild cobra snake found resting inside the car engine dashboard area","Animal","Wildlife Encounter","High"
"Troop of monkeys attacking residents carrying vegetable baskets down lane","Animal","Wildlife Encounter","High"
"An injured dying calf lying in the open sun with bleeding leg cuts","Animal","Animal Welfare","High"
"The major crossroads traffic signal is completely dead causing massive chaos","Traffic","Signal Issue","High"
"Traffic light stuck on red light line for 20 minutes causing mass honking","Traffic","Signal Issue","High"
"Vehicles driving down wrong track on a fast one way corridor link street","Traffic","Violations","High"
"Illegal travel agency buses parking on two lanes of the primary market avenue","Traffic","Parking Violations","High"
"Severe traffic lock at railway track crossing due to malfunctioned gate barriers","Traffic","Management Issue","High"
"The main avenue has caved in near the flyover construction pillars","Road","Road Caving","High"
"Deep gravel pits formed on the highway exit lane breaking vehicle rims","Road","Road Damage","High"
"Road surface cracked open into multiple tile-like fragments after rain","Road","Road Damage","High"
"Loose stones scattered over the narrow curve path making bikes skid out","Road","Road Damage","High"
"The asphalt foundation has fully collapsed creating a 2 foot drop ditch","Road","Road Damage","High"
"Long transverse cracks across the street causing sharp vehicle thuds","Road","Road Damage","Medium"
"The concrete pathway pavement has disintegrated into dusty sand layers","Road","Road Damage","Low"
"Road shoulder has collapsed down into the adjacent irrigation trench line","Road","Road Caving","High"
"A deep sinkhole has suddenly developed in the busy shopping alley lane","Road","Road Caving","High"
"The street ground level is shifting sideways near the river embankment","Road","Road Caving","High"
"High concrete speed hump constructed without any bright yellow zebra paint","Road","Speed Breaker Issue","Medium"
"Multiple successive speed breakers built by local community without permission","Road","Speed Breaker Issue","Medium"
"The sidewalk pavement slabs are missing near the old retirement home path","Road","Footpath Damage","High"
"Footpath entirely encroached by roadside vegetable stalls forcing street walk","Road","Footpath Damage","Medium"
"Walking track blocked by heavy cement sacks and brick walls of builder","Road","Footpath Damage","Medium"
"Water supply completely cut down since last four days in our cluster","Water","Water Supply","High"
"No municipal water flowing from taps in the whole sector since Sunday","Water","Water Supply","High"
"Fresh drinking water unavailable in ward seven residential housing colony","Water","Water Supply","High"
"The primary cross country water pipeline cracked wasting massive output","Water","Water Leakage","High"
"Subsoil pipe leak causing municipal water to flood house cellar blocks","Water","Water Leakage","High"
"Water supply flow is so minimal it can't lift to intermediate sumps","Water","Water Supply","Medium"
"Tap water looks pitch dark and muddy like gutter swamp slush liquid","Water","Water Quality","High"
"Drinking water smells intensively of public sewer line cross contamination","Water","Water Quality","High"
"Red colored rust water with high sand particles coming out from tap lines","Water","Water Quality","High"
"Microscopic worm organisms seen moving around inside drinking water jugs","Water","Water Quality","High"
"The sector main water pump motor has completely fried due to voltage trip","Water","Infrastructure Failure","High"
"Overhead water distribution reservoir overflowing for five hours continuous","Water","Water Waste","Medium"
"Streetlights are fully non functional across the primary market avenue link","Electricity","Street Light Issue","Medium"
"Frequent random power cuts occurring fifteen times a day in this area","Electricity","Power Issue","High"
"The utility electric pole is badly fractured at base ready to drop down","Electricity","Dangerous Infrastructure","High"
"Complete electrical blackout in sector four since last night thunder storm","Electricity","Power Issue","High"
"Severe voltage drops preventing air conditioning compressors from turning on","Electricity","Power Issue","High"
"Phase imbalance has left alternate houses in absolute pitch darkness line","Electricity","Power Issue","High"
"The neighborhood distribution transformer blasted with massive bang fire","Electricity","Transformer Failure","High"
"Feeder pillar junction box door is fully detached with naked copper rows","Electricity","Dangerous Infrastructure","High"
"High tension cable snapped and hanging two feet above the main highway path","Electricity","Dangerous Infrastructure","High"
"Street lamps are glowing brightly during the peak hot midday hours time","Electricity","Street Light Issue","Low"
"Trash heaps haven't been picked up for ten days from our street side","Sanitation","Garbage Collection","Medium"
"Open garbage dumping on empty plot causing intense flies and bad odor","Sanitation","Garbage Collection","Medium"
"Foul sewer water erupting from blocked manhole running onto open food zone","Sanitation","Sewage Problem","High"
"The community center dustbin is fully choked with garbage rotten stuff out","Sanitation","Garbage Collection","Medium"
"A dead goat carcass rotting on the side walk line spreading terrible stench","Sanitation","Debris and Dead Animals","High"
"Illegal disposal of hazardous bio medical waste syringes near the clinic","Sanitation","Hazardous Waste","High"
"Main sewer line choked causing toilet backflow into basement apartments","Sanitation","Sewage Problem","High"
"Debris from a broken concrete building left blocking half the driving lane","Sanitation","Debris and Dead Animals","Medium"
"Public toilet facility has zero running water and is extremely filthy foul","Sanitation","Public Hygiene","High"
"Open burning of dry municipal garbage filling atmosphere with black soot smoke","Sanitation","Public Hygiene","High"
"Drainage sludge water overflowing on the streets turning roads into canals","Drainage","Drainage Issue","Medium"
"Stormwater drain block causing immediate flooding of low lying layout roads","Drainage","Drainage Issue","Medium"
"Rain runoff water stagnant due to completely blocked culvert filter grates","Drainage","Drainage Issue","Medium"
"The deep roadside open ditch lacks any iron safety grates or mesh guard","Drainage","Drainage Hazard","High"
"A minor child almost slipped inside the deep open gutter canal by park","Drainage","Drainage Hazard","High"
"Mosquitoes multiplying rapidly due to wide static drainage slush channels","Drainage","Drainage Issue","Medium"
"Road gutters are packed solid with construction silt and plastic wrappers","Drainage","Drainage Issue","Medium"
"Underground sewer pipeline collapsed under the pressure of heavy multi axles","Drainage","Drainage Issue","High"
"The primary drainage discharge mouth is blocked with dense hyacinth weeds","Drainage","Drainage Issue","Medium"
"Restaurant kitchen fat grease choked the local gully trap connection pipe","Drainage","Drainage Issue","Medium"
"Pack of ten feral dogs chasing kids playing in the community center park","Animal","Stray Animals","Medium"
"Aggressive street dog pack creating safety hazards near the primary school","Animal","Stray Animals","Medium"
"Feral dog group attacked and bit an online delivery boy on scooter today","Animal","Stray Animals","High"
"Stray cattle resting on the active center highway lane causing heavy crashes","Animal","Stray Animals","High"
"Rabid acting street dog biting people near the public market square lane","Animal","Stray Animals","High"
"Wild monkeys entering residential kitchens stealing food and attacking kids","Animal","Wildlife Encounter","High"
"A massive toxic black cobra snake spotted inside the crowded jogging track","Animal","Wildlife Encounter","High"
"Injured street bull lying on the pavement with fractured legs unable to rise","Animal","Animal Welfare","Medium"
"Stray pigs uprooting garbage containers throwing waste across the active road","Animal","Stray Animals","Medium"
"Bulls fighting violently on the main avenue crashing into parked motorbikes","Animal","Stray Animals","High"
"Traffic light signal fully dead at the primary commercial highway crossroad","Traffic","Signal Issue","High"
"Signal control lights broken down near the entry flyover transit point","Traffic","Signal Issue","High"
"Traffic signal stuck permanently on red light phase causing mass gridlock","Traffic","Signal Issue","High"
"Blinking yellow caution lamp is completely dead at a dangerous blind corner","Traffic","Signal Issue","High"
"No traffic officer present to control the absolute peak hours vehicle chaos","Traffic","Management Issue","Medium"
"Illegal double side parking on narrow market street blocking ambulance lane","Traffic","Parking Violations","Medium"
"Vehicles driving down wrong way direction on a fast one way corridor track","Traffic","Violations","High"
"Severe traffic lock at crossing due to broken mechanical railway drop gates","Traffic","Management Issue","High"
"Traffic sign board has fallen flat on the left turning lane blocking view","Traffic","Signage Issue","Low"
"Reckless high speed driving by dumper trucks through residential zones","Traffic","Violations","High"
"The main ring road asphalt is broken into deep pits near the bridge","Road","Road Damage","High"
"Massive ruts formed on the highway surface from overloaded gravel trucks","Road","Road Damage","High"
"The street lane is filled with loose crushed stones and sharp stone flint","Road","Road Damage","Medium"
"A major road cave-in observed on the active lane of market roundabout","Road","Road Caving","High"
"The side embankment of the elevated road is sliding down after downpour","Road","Road Caving","High"
"High concrete speed bump built without any neon markers breaking car bases","Road","Speed Breaker Issue","High"
"The sidewalk pavement tiles are broken loose and splashing mud when stepped","Road","Footpath Damage","Low"
"Sidewalk entirely blocked by iron scaffolding from the apartment builder","Road","Footpath Damage","Medium"
"Potholes right where the hospital emergency ambulance vehicles pull inside","Road","Road Damage","High"
"The road surface has uneven hills due to poor work by tar roller machine","Road","Road Damage","Medium"
"Water supply has completely stopped since four days in colony block d area","Water","Water Supply","High"
"Municipal tap water smells horribly bad like open drainage waste fluid lines","Water","Water Quality","High"
"The main pipeline has fractured near the underpass subway structural wall","Water","Water Leakage","High"
"Water pressure is so low it takes 40 minutes to fill up a water container","Water","Water Supply","Medium"
"Drinking water contains visible red worms and thick brown dirt sediments","Water","Water Quality","High"
"The sector main subsoil bore pump motor has burnt out due to line fuse trip","Water","Infrastructure Failure","High"
"Water pipeline cross leaking directly inside the underground sewer network","Water","Water Quality","High"
"The overhead supply tank main valve is stuck open wasting massive pure water","Water","Water Waste","Medium"
"Municipal lines supplying highly alkaline water that ruins household fixtures","Water","Water Quality","Medium"
"Underground water line leak causing structural water seepage into room wall","Water","Water Leakage","High"
"The area transformer caught fire with loud blast sound cutting block power","Electricity","Transformer Failure","High"
"High voltage cable snapped down and hanging over the crowded market lane path","Electricity","Dangerous Infrastructure","High"
"Complete electrical blackout since nine hours during this hot summer daytime","Electricity","Power Issue","High"
"Frequent voltage drops causing home refrigerator motors to overheat and fail","Electricity","Power Issue","High"
"The utility distribution pole is leaning at a dangerous angle over balcony","Electricity","Dangerous Infrastructure","High"
"Exposed electrical bus bars inside the unlatched open feeder pillar box","Electricity","Dangerous Infrastructure","High"
"Junction panel box door missing with loose wire loops near park playground","Electricity","Dangerous Infrastructure","High"
"Entire street lamp network is dead across the whole secondary link block","Electricity","Street Light Issue","Medium"
"The street lamp flickers non stop creating high driving vision glare risk","Electricity","Street Light Issue","Low"
"The utility transformer is leaking hazardous cooling oil over foot track","Electricity","Transformer Failure","High"
"Garbage piles left uncollected outside the primary education school gate","Sanitation","Garbage Collection","High"
"A decomposing stray pig carcass lying on path spreading sickening rot odor","Sanitation","Debris and Dead Animals","High"
"Raw black sewage water flooding the pathway from a choked central manhole","Sanitation","Sewage Problem","High"
"Used medical syringes and glass vials thrown openly in public trash skips","Sanitation","Hazardous Waste","High"
"The community skip trash container is missing and people dump on plain soil","Sanitation","Garbage Collection","Medium"
"Sewer line block has caused fecal slush to reverse flush into flat toilets","Sanitation","Sewage Problem","High"
"Demolition debris stones left blocking the sidewalk path since three weeks","Sanitation","Debris and Dead Animals","Medium"
"Public restroom complex has zero running flush water and is extremely filthy","Sanitation","Public Hygiene","High"
"Thick toxic smoke from garbage open fire by cleaning staff blinding drivers","Sanitation","Public Hygiene","High"
"The septic sludge vehicle emptying waste inside the residential green park","Sanitation","Sewage Problem","High"
"The main storm rain drain line is choked solid with plastic bags silt mass","Drainage","Drainage Issue","High"
"Underground concrete box culvert split apart blocking the whole stream flow","Drainage","Drainage Issue","High"
"A small kid nearly slipped inside the deep open gutter lacking cover plate","Drainage","Drainage Hazard","High"
"Gutter slush overflowing inside ground floor electronic shops ruining stocks","Drainage","Drainage Issue","High"
"The open drain canal has turned into a massive static mosquito breeding swamp","Drainage","Drainage Issue","High"
"Rain water flooding the complete underpass because the drain pipe is choked","Drainage","Drainage Issue","High"
"Chemical acid water running out from micro factory into public rain drains","Drainage","Drainage Issue","High"
"The drain concrete wall has collapsed letting sewage erode house basement wall","Drainage","Drainage Hazard","High"
"Slab covers on the market drain are cracked and flipping up under heavy feet","Drainage","Drainage Hazard","Medium"
"The primary drainage lifting pump station failed during the night storm hours","Drainage","Drainage Issue","High"
"Feral street dog pack bit two kids playing near the society park swings area","Animal","Stray Animals","High"
"Stray cow standing inside the narrow clinic gate blocking emergency patients","Animal","Stray Animals","High"
"A wild venomous snake found inside the car engine air filter box compartment","Animal","Wildlife Encounter","High"
"Troop of monkeys attacking women carrying fruit baskets down the society lane","Animal","Wildlife Encounter","High"
"An injured weak calf lying in the open sun with bleeding cuts on legs","Animal","Animal Welfare","High"
"Stray bulls fighting madly on the road breaking commercial glass store fronts","Animal","Stray Animals","High"
"Feral dogs growl and chase old people walking on the morning jogging track","Animal","Stray Animals","Medium"
"A massive honeybee hive on the school corridor window frame safety hazard","Animal","Wildlife Encounter","Medium"
"Stray pigs digging up open sewer gutters spreading disease across the sector","Animal","Stray Animals","High"
"Abandoned starving horse left on the fast highway lane looking weak down","Animal","Animal Welfare","High"
"The main intersection crossroads traffic signal is completely dead causing mess","Traffic","Signal Issue","High"
"Traffic signal light stuck on green for all crossroads causing side crashes","Traffic","Signal Issue","High"
"Many cars driving wrong way track to skip the crowded highway highway toll plaza","Traffic","Violations","High"
"Commercial container trucks parking on two lanes of active street narrowing path","Traffic","Parking Violations","High"
"Severe traffic lock at crossing due to complete absence of traffic cop manual","Traffic","Management Issue","High"
"Speed limit indicator sign boards are fully broken down or stolen by thieves","Traffic","Signage Issue","Low"
"No lane markings separating high speed vehicles on the narrow flyover line","Traffic","Management Issue","High"
"Modified sports bikes racing at extreme speeds inside residential blocks paths","Traffic","Violations","High"
"The pedestrian crossing countdown screen is broken showing blank panel board","Traffic","Signal Issue","Low"
"City transit buses stopping abruptly in center lane to drop off passengers pack","Traffic","Management Issue","High"
"The side road is completely broken down with huge deep craters near junction","Road","Road Damage","High"
"Asphalt layer stripped completely off leaving a dangerous gravel skid lane","Road","Road Damage","High"
"Road surface is entirely broken and loose after sewer pipes were laid down","Road","Road Damage","Medium"
"A massive sinkhole has formed under the main city bus lane tracking out","Road","Road Caving","High"
"The foundation of the concrete road near river channel has caved deep","Road","Road Caving","High"
"Unmarked high speed breaker near the blind curve causing bike crashes","Road","Speed Breaker Issue","High"
"The pavement slabs are entirely missing near the visually impaired center","Road","Footpath Damage","High"
"Sidewalk completely blocked by iron rebars from active construction work site","Road","Footpath Damage","Medium"
"Potholes on the approach ramp of flyover causing cars to stall out sudden","Road","Road Damage","High"
"The tar layer has shifted creating deep wave ridges dangerous for scooters","Road","Road Damage","Medium"
"Water supply is totally cut off since five days in block c colony area","Water","Water Supply","High"
"Municipal tap water smells extremely bad like chemical toxic fluid waste","Water","Water Quality","High"
"The primary distribution main pipeline cracked open wasting millions of gallons","Water","Water Leakage","High"
"Water pressure is so weak it takes an hour to fill a small plastic bucket","Water","Water Supply","Medium"
"Drinking water contains visible red worms and dirt floating inside taps","Water","Water Quality","High"
"The public borewell pump has completely burnt down out of voltage issue","Water","Infrastructure Failure","High"
"Water line cross leaking inside the local open raw sewage channel grid","Water","Water Quality","High"
"The valve regulator house is abandoned and water is spilling out uncontrollably","Water","Infrastructure Failure","Medium"
"Municipal water lines supplying highly salty hard water ruining hair and skin","Water","Water Quality","Medium"
"Underground water line leakage causing water to flood house basement floors","Water","Water Leakage","High"
"Transformer caught fire with explosion sound cutting power to whole block","Electricity","Transformer Failure","High"
"High voltage cable snapped and is dangling low over the crowded school gate","Electricity","Dangerous Infrastructure","High"
"Complete block power failure since ten hours straight in peak afternoon summer","Electricity","Power Issue","High"
"Frequent extreme high voltage surges burning down household computer setups","Electricity","Power Issue","High"
"The utility electric pole is tilted at a 45 degree angle ready to fall down","Electricity","Dangerous Infrastructure","High"
"Exposed electrical terminal lines inside the open street light pillar box","Electricity","Dangerous Infrastructure","High"
"The feeder box door is missing with bare copper bars fully visible outside","Electricity","Dangerous Infrastructure","High"
"Street lights are fully broken down across the entire residential link stretch","Electricity","Street Light Issue","Medium"
"The street lamp flickers continuously like a strobe light causing eye strain","Electricity","Street Light Issue","Low"
"The pole transformer is leaking heavy black oil directly onto the foot track","Electricity","Transformer Failure","High"
"Garbage dump piles left uncollected outside the primary health center entry","Sanitation","Garbage Collection","High"
"A decaying stray pig body lying on market pathway spreading horrible smell","Sanitation","Debris and Dead Animals","High"
"Raw black sewage water spilling over from clogged manhole directly onto market lane","Sanitation","Sewage Problem","High"
"Toxic battery chemicals and e waste thrown openly in the children playground","Sanitation","Hazardous Waste","High"
"The main neighborhood trash container is missing and people dump on ground","Sanitation","Garbage Collection","Medium"
"Sewer line block has caused fecal matter to back up inside residential baths","Sanitation","Sewage Problem","High"
"Demolition stone debris left blocking the narrow lane since three weeks old","Sanitation","Debris and Dead Animals","Medium"
"Public community latrine facility is completely unusable filthy with no water","Sanitation","Public Hygiene","High"
"Thick white toxic smoke from open trash burning by cleaners blinding drivers","Sanitation","Public Hygiene","High"
"The septic fluid truck dumping waste directly inside the layout rain park","Sanitation","Sewage Problem","High"
"The main storm drain line is blocked solid with plastic debris causing floods","Drainage","Drainage Issue","High"
"Underground concrete culvert pipe split into half blocking the whole flow","Drainage","Drainage Issue","High"
"A toddler nearly fell inside the open concrete gutter hole lacking cover plate","Drainage","Drainage Hazard","High"
"Gutter slush overflowing inside ground floor shops destroying fine goods","Drainage","Drainage Issue","High"
"The open drain channel has become a massive stagnant mosquito swamp pool","Drainage","Drainage Issue","High"
"Rain water flooding the complete underpass because the drain line is choked","Drainage","Drainage Issue","High"
"Chemical wash water running down from local factory into public open drains","Drainage","Drainage Issue","High"
"The drain wall has broken down letting dirty water erode house foundation","Drainage","Drainage Hazard","High"
"Slab covers on the market drain are loose and flipping up under feet steps","Drainage","Drainage Hazard","Medium"
"The main drainage exit pump failed during the heavy storm night hours","Drainage","Drainage Issue","High"
"Feral dog pack bit two children playing near the society garden swings","Animal","Stray Animals","High"
"Stray cow standing inside the narrow entry gate blocking emergency exit","Animal","Stray Animals","High"
"A wild cobra snake found resting inside the car engine dashboard area","Animal","Wildlife Encounter","High"
"Troop of monkeys attacking residents carrying vegetable baskets down lane","Animal","Wildlife Encounter","High"
"An injured dying calf lying in the open sun with bleeding leg cuts","Animal","Animal Welfare","High"
"Stray bulls fighting wildly on the street breaking storefront glass panes","Animal","Stray Animals","High"
"Feral street dogs bark aggressively chasing old walkers on the track","Animal","Stray Animals","Medium"
"A large beehive on the school balcony window tracking down safety hazard","Animal","Wildlife Encounter","Medium"
"Stray pigs roaming inside the hospital compound spreading vector risks","Animal","Stray Animals","High"
"Abandoned sick horse left on the busy highway junction lane starving down","Animal","Animal Welfare","High"
"The major crossroads traffic signal is completely dead causing massive chaos","Traffic","Signal Issue","High"
"Traffic signal light stuck on green for all sides causing t bone crashes","Traffic","Signal Issue","High"
"Dozens of cars driving wrong side path to skip the toll plaza line track","Traffic","Violations","High"
"Commercial trucks parking on both sides of active main street narrowing path","Traffic","Parking Violations","High"
"Severe gridlock at intersection due to complete absence of traffic cop guide","Traffic","Management Issue","High"
"Speed limit indicator boards are fully broken down or painted over by thugs","Traffic","Signage Issue","Low"
"No lane markings separating fast traffic on the high speed flyover path","Traffic","Management Issue","High"
"Sport bikes racing at 150 kmh inside residential colony avenue paths","Traffic","Violations","High"
"The pedestrian walking countdown timer is broken showing blank screen unit","Traffic","Signal Issue","Low"
"City transit buses stopping randomly in the middle lane to drop passengers","Traffic","Management Issue","High"
"The loop road asphalt has completely degraded into deep gravel trenches","Road","Road Damage","High"
"Massive depressions formed on the service road due to soil shifting below","Road","Road Caving","High"
"Road surface shattered into loose chunks after heavy infrastructure digging","Road","Road Damage","Medium"
"A major sinkhole has cracked open the surface near school assembly gate","Road","Road Caving","High"
"The bridge approach ramp road is slowly separating from structural joints","Road","Road Caving","High"
"Unmarked concrete speed tables acting like dangerous hurdles at night","Road","Speed Breaker Issue","Medium"
"Pedestrian pavement tiles completely missing near center for handicapped","Road","Footpath Damage","High"
"Footpath entirely occupied by informal scrap dealers blocking public access","Road","Footpath Damage","Medium"
"Potholes right where city emergency vehicles change tracks near fire station","Road","Road Damage","High"
"The highway lane surface has ripples from poor quality hot mix application","Road","Road Damage","Medium"
"Water supply has gone completely dead since last five days in housing block","Water","Water Supply","High"
"Municipal water from taps smells highly of heavy fuel oil or chemical waste","Water","Water Quality","High"
"The main underground distribution conduit line fractured near market junction","Water","Water Leakage","High"
"Water pressure is so weak it takes 45 minutes to fill one generic bucket","Water","Water Supply","Medium"
"Drinking water contains visible dirt floating alongside tiny white particles","Water","Water Quality","High"
"The neighborhood borewell pump assembly has completely burnt out down","Water","Infrastructure Failure","High"
"Water pipe leaking directly into the open brick storm sewage system canal","Water","Water Quality","High"
"The primary distribution reservoir valve stuck open wasting drinking supply","Water","Water Waste","Medium"
"Water board lines delivering highly scale forming hard water to residential","Water","Water Quality","Medium"
"Water main leakage causing wet damp patches on concrete road structures","Water","Water Leakage","High"
"Substation transformer caught fire with immense blast cutting grid line","Electricity","Transformer Failure","High"
"High tension feeder wire snapped dangling low over crowded bus stop platform","Electricity","Dangerous Infrastructure","High"
"Complete grid electrical blackout since twelve hours in high humidity zone","Electricity","Power Issue","High"
"Frequent dramatic voltage drop loops breaking split AC fan motors fast","Electricity","Power Issue","High"
"The metal electric post is rusted through base leaning ready to collapse","Electricity","Dangerous Infrastructure","High"
"Exposed electrical wiring bars inside open unlocked floor pillar terminal","Electricity","Dangerous Infrastructure","High"
"Junction panel door torn open with messy wire bundles near primary school","Electricity","Dangerous Infrastructure","High"
"Streetlights are fully non functional across the complete highway entry way","Electricity","Street Light Issue","Medium"
"The street light lamp operates like a high frequency strobe causing blinds","Electricity","Street Light Issue","Low"
"The high capacity pole transformer leaking toxic insulating oil on track","Electricity","Transformer Failure","High"
"Garbage dump container has not been cleared for two weeks straight from lane","Sanitation","Garbage Collection","High"
"A rotting dog body lying on internal lane sidewalk spreading decay odor","Sanitation","Debris and Dead Animals","High"
"Raw black sewage fluid spilling over from jammed sewer pipe into open zone","Sanitation","Sewage Problem","High"
"Used medical needles and bloody linen discarded in public green belt park","Sanitation","Hazardous Waste","High"
"The local community waste container is missing people throwing on street","Sanitation","Garbage Collection","Medium"
"Sewer line block causing direct black flush backup inside flat bathrooms","Sanitation","Sewage Problem","High"
"Demolition concrete chunks blocking the sidewalk alleyway since three weeks","Sanitation","Debris and Dead Animals","Medium"
"Public community toilet is completely dry with zero water and thick dirt","Sanitation","Public Hygiene","High"
"Thick pungent smoke from garbage burning by cleaning staff blocking lanes","Sanitation","Public Hygiene","High"
"The septic sludge container truck emptying human waste inside city woods","Sanitation","Sewage Problem","High"
"The primary storm water path is blocked solid with plastic silt packing","Drainage","Drainage Issue","High"
"Underground concrete box line broken down blocking entire layout flow","Drainage","Drainage Issue","High"
"A toddler almost fell inside the deep open storm gutter lacking grate cap","Drainage","Drainage Hazard","High"
"Gutter water overflowing inside low lying commercial shops destroying kits","Drainage","Drainage Issue","High"
"The open gutter channel transformed into stagnant mosquito breeding center","Drainage","Drainage Issue","High"
"Rain storm water flooding underpass because internal exit pipeline is choked","Drainage","Drainage Issue","High"
"Chemical washing fluid running down from small industry into open rain path","Drainage","Drainage Issue","High"
"The open drain wall collapsed letting dirty water erode building pillar","Drainage","Drainage Hazard","High"
"Concrete slab covers on market drain cracked flipping under walking feet","Drainage","Drainage Hazard","Medium"
"The primary storm drainage lifting pumps failed during active heavy rain","Drainage","Drainage Issue","High"
"Feral dog pack attacked and bit two children near park swing setup","Animal","Stray Animals","High"
"Stray cow standing inside narrow emergency medical clinic door blocking path","Animal","Stray Animals","High"
"A wild cobra snake found inside car engine dashboard utility compartment","Animal","Wildlife Encounter","High"
"Troop of aggressive monkeys snatching fruit bags from women down lane","Animal","Wildlife Encounter","High"
"An injured weak calf lying in open sun bleeding from wire cuts on legs","Animal","Animal Welfare","High"
"Stray bulls fighting furiously breaking commercial glass storefront windows","Animal","Stray Animals","High"
"Feral street dogs growling and chasing elderly people on walking tracks","Animal","Stray Animals","Medium"
"A massive active bee hive on the classroom balcony window tracking hazard","Animal","Wildlife Encounter","Medium"
"Stray pigs digging open sewer mud banks spreading vector risks around area","Animal","Stray Animals","High"
"Abandoned weak horse left on active highway fast lane looking completely dehydrated","Animal","Animal Welfare","High"
"The main multi lane intersection traffic signal is entirely dead causing chaos","Traffic","Signal Issue","High"
"Traffic lights stuck green on all crossing directions causing side impacts","Traffic","Signal Issue","High"
"Dozens of cars moving wrong way track to bypass the highway toll line","Traffic","Violations","High"
"Commercial transport containers parking on both lanes of active narrow road","Traffic","Parking Violations","High"
"Severe traffic gridlock at junction due to total absence of traffic marshals","Traffic","Management Issue","High"
"Speed limit indicator boards broken down or sprayed with black spray paint","Traffic","Signage Issue","Low"
"No visible lane markings separating traffic lines on narrow elevated path","Traffic","Management Issue","High"
"Modified sports motorcycles drag racing inside colony tracks at late night","Traffic","Violations","High"
"The pedestrian street crossing countdown screen is broken showing blank rows","Traffic","Signal Issue","Low"
"City transit buses stopping abruptly inside center lane to drop off crowds","Traffic","Management Issue","High"
